Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class,Toughness
No Processing,0.0,0.89571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069,0.0016,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,8.9,188.0,281.8720234779904,1,836.6
No Processing,0.0,0.89408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0018,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,7.3,174.0,281.8720234779904,1,635.1
Solutionised  + Artificially peak aged,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,110.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,185.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,220.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,260.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,170.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,165.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,160.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,275.0,2,2091.7384145972865
No Processing,0.0,0.88282,0.0,0.0,0.0,0.0,0.0,0.0018,0.017,0.0,0.0,0.0022,0.0,0.0,0.0275,0.0,0.001,0.0,0.0,0.0006,0.0,0.00028,0.0,0.0668,0.0,12.14425430210325,198.0,172.0,1,1202.2811759082217
Solutionised  + Artificially peak aged,0.0,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,185.0,159.0,2,1123.3435229445506
Solutionised  + Artificially peak aged,0.0,0.9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,220.0,199.0,2,1335.8679732313574
Artificial aged,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,138.0,7,2091.7384145972865
Artificial aged,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,196.0,7,2091.7384145972865
Artificial aged,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,194.0,7,2091.7384145972865
Artificial aged,0.0,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,209.0,7,2091.7384145972865
Solutionised,0.0007,0.9208,0.0,0.0,0.0,0.0,0.0,0.0,0.0637,0.0,0.0,0.0057,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0066,0.0,4.0,225.0,130.0,1,450.0
Solutionised,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,0.0,0.006,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0068,0.0,6.0,240.0,125.0,1,720.0
Solutionised,0.0003,0.9153,0.0,0.0,0.0,0.0,0.0,0.0,0.0678,0.0,0.0,0.0062,0.0,0.0,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0076,0.0,4.0,230.0,130.0,1,460.0
Solutionised,0.001,0.9151,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,0.0061,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0073,0.0,3.0,220.0,140.0,1,330.0
Solutionised  + Artificially peak aged,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,150.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,210.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,265.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,200.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,195.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.9855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,344.48198507091877,190.0,2,2091.7384145972865
Solutionised  + Artificially peak aged,0.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,259.0,147.0,2,1572.6809321223707
Solutionised  + Artificially peak aged,0.0,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,401.0,368.0,2,2434.9229875717015
Solutionised  + Artificially peak aged,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,525.0,420.0,2,3187.866754302103
Solutionised  + Artificially peak aged,0.0,0.9977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,12.14425430210325,208.0,198.0,2,1263.002447418738
